"year","common_name","scientific_name","fishing_entity","fishing_sector","Total_tonnes","Landings_Value"
1955,"Argentine hake","Merluccius hubbsi","Brazil","Subsistence",1.9285991111,892.9413884393
1955,"Basses, groupers, hinds","Serranidae","Peru","Subsistence",6.0467949197,3126.19297349043
1955,"Black jack","Caranx lugubris","Chile","Subsistence",0.5008395365,266.446633412632
1955,"Bluefish","Pomatomus saltatrix","Brazil","Subsistence",0.0674827538,312.2427018326
1955,"Cabinza grunt","Isacia conceptionis","Peru","Subsistence",4.6704721954,1125.58379910301
1955,"Chilean jack mackerel","Trachurus murphyi","Chile","Subsistence",2.3075,814.5475
1955,"Chilean jack mackerel","Trachurus murphyi","Peru","Subsistence",0.459574464,44.1191485470818
1955,"Chilean ribbed mussel","Aulacomya ater","Peru","Subsistence",5.4421154277,2726.49982929755
1955,"Chilean silverside","Odontesthes regia","Peru","Subsistence",21.3292417815,9342.20790028259
1955,"Chub mackerel","Scomber japonicus","Peru","Subsistence",8.5384354293,939.22789722446
1955,"Cods","Gadiformes","Brazil","Subsistence",1.3163514277,2193.0414785482
1955,"Commercial shrimps and prawns","Penaeidae","Brazil","Subsistence",41.0525577882,174637.580831003
1955,"Common octopus","Octopus vulgaris","Brazil","Subsistence",4.6168154762,8361.0528273982
1955,"Crabs, lobsters, shrimps","Decapoda","Brazil","Subsistence",10.4927624459,15382.3897456894
1955,"Drums, croakers","Sciaenidae","Brazil","Subsistence",0.1188401601,273.0946879098
1955,"Drums, croakers","Sciaenidae","Peru","Subsistence",121.39166428,41030.3825266241
1955,"Eastern Pacific bonito","Sarda chiliensis","Peru","Subsistence",2023.8861760548,629428.600753055
1955,"Finfishes","Marine finfishes not identified","Chile","Subsistence",0.767953956,1125.820499496
1955,"Flathead grey mullet","Mugil cephalus","Peru","Subsistence",19.2835599181,7809.84176682337
1955,"Galapagos shark","Carcharhinus galapagensis","Chile","Subsistence",0.0333893024,32.7882949888727
1955,"Grey mullets","Mugil","Brazil","Subsistence",99.3678284171,244742.961391317
1955,"Hapuka","Polyprion oxygeneios","Chile","Subsistence",2.3075,1760.6225
1955,"Herrings, sardines, menhadens","Clupeidae","Brazil","Subsistence",47.3849316974,22744.767214752
1955,"Jacks, pompanos","Carangidae","Brazil","Subsistence",8.2443133503,19629.7100870643
1955,"King weakfish","Macrodon ancylodon","Brazil","Subsistence",5.0681862526,11646.6920084748
1955,"Marine fishes nei","Marine fishes not identified","Brazil","Subsistence",98.8814534447,143476.98894826
1955,"Marine fishes nei","Marine fishes not identified","Chile","Subsistence",18.0275881553,14187.7118782236
